Hari,Jam,Mata Kuliah,Semester,SKS,Dosen,Ruang,Kelas,Kapasitas Kelas
Senin,09:20:00 - 10:10:00,Kalkulus I,1,3,SUPRIYADI WIBOWO,R001,A,25
Senin,10:15:00 - 11:05:00,Kalkulus I,1,3,SUPRIYADI WIBOWO,R001,A,25
Senin,11:10:00 - 12:00:00,Kalkulus I,1,3,SUPRIYADI WIBOWO,R001,A,25
Senin,13:00:00 - 13:50:00,Pengolahan Citra Digital,5,3,HERI PRASETYO,R001,B,25
Senin,13:55:00 - 14:45:00,Pengolahan Citra Digital,5,3,HERI PRASETYO,R001,B,25
Senin,15:30:00 - 16:20:00,Pengolahan Citra Digital,5,3,HERI PRASETYO,R001,B,25
Senin,16:25:00 - 17:15:00,Data Mining,5,3,WIRANTO,R001,E,25
Senin,18:10:00 - 19:00:00,Data Mining,5,3,WIRANTO,R001,E,25
Senin,22:15:00 - 23:05:00,Data Mining,5,3,WIRANTO,R001,E,25
Senin,13:00:00 - 13:50:00,Bahasa Indonesia,1,2,KUNDHARU SADDHONO,R002,C,40
Senin,13:55:00 - 14:45:00,Bahasa Indonesia,1,2,KUNDHARU SADDHONO,R002,C,40
Senin,15:30:00 - 16:20:00,Sistem Digital,1,3,AKHMAD SYAIFUDDIN,R002,C,40
Senin,10:15:00 - 11:05:00,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R002,D,40
Senin,07:30:00 - 08:20:00,Manajemen Jaringan,5,3,HERDITO IBNU DEWANGKORO,R002,A,40
Senin,08:25:00 - 09:15:00,Manajemen Jaringan,5,3,HERDITO IBNU DEWANGKORO,R002,A,40
Senin,09:20:00 - 10:10:00,Manajemen Jaringan,5,3,HERDITO IBNU DEWANGKORO,R002,A,40
Senin,07:30:00 - 08:20:00,Statistika & Probabilitas,1,3,ESTI SURYANI,R003,C,30
Senin,08:25:00 - 09:15:00,Statistika & Probabilitas,1,3,ESTI SURYANI,R003,C,30
Senin,09:20:00 - 10:10:00,Statistika & Probabilitas,1,3,ESTI SURYANI,R003,C,30
Senin,10:15:00 - 11:05:00,Metode Numerik,3,3,UMI SALAMAH,R003,B,30
Senin,11:10:00 - 12:00:00,Metode Numerik,3,3,UMI SALAMAH,R003,B,30
Senin,13:00:00 - 13:50:00,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30
Senin,13:55:00 - 14:45:00,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30
Senin,15:30:00 - 16:20:00,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30
Senin,16:25:00 - 17:15:00,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30
Senin,13:00:00 - 13:50:00,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R004,A,25
Senin,13:55:00 - 14:45:00,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R004,A,25
Senin,15:30:00 - 16:20:00,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R004,A,25
Senin,07:30:00 - 08:20:00,Matematika Diskrit II,3,2,HERI PRASETYO,R004,C,25
Senin,08:25:00 - 09:15:00,Matematika Diskrit II,3,2,HERI PRASETYO,R004,C,25
Senin,09:20:00 - 10:10:00,Kecerdasan Komputasional,7,3,WIHARTO,R004,A,25
Senin,10:15:00 - 11:05:00,Kecerdasan Komputasional,7,3,WIHARTO,R004,A,25
Senin,11:10:00 - 12:00:00,Kecerdasan Komputasional,7,3,WIHARTO,R004,A,25
Senin,07:30:00 - 08:20:00,Sistem Digital,1,3,ENDRA PRATAMA,R005,A,25
Senin,08:25:00 - 09:15:00,Sistem Digital,1,3,ENDRA PRATAMA,R005,A,25
