Hari,Mata Kuliah,Semester,SKS,Dosen,Ruang,Kelas,Kapasitas Kelas,start,finish,duration,jumlah_mahasiswa,profit_density
Senin,Kalkulus I,1,3,SUPRIYADI WIBOWO,R001,A,25,09:20:00,10:10:00,50.0,16,0.06
Senin,Kalkulus I,1,3,SUPRIYADI WIBOWO,R001,A,25,10:15:00,11:05:00,50.0,13,0.06
Senin,Kalkulus I,1,3,SUPRIYADI WIBOWO,R001,A,25,11:10:00,12:00:00,50.0,22,0.06
Senin,Pengolahan Citra Digital,5,3,HERI PRASETYO,R001,B,25,13:00:00,13:50:00,50.0,24,0.06
Senin,Pengolahan Citra Digital,5,3,HERI PRASETYO,R001,B,25,13:55:00,14:45:00,50.0,20,0.06
Senin,Pengolahan Citra Digital,5,3,HERI PRASETYO,R001,B,25,15:30:00,16:20:00,50.0,17,0.06
Senin,Data Mining,5,3,WIRANTO,R001,E,25,16:25:00,17:15:00,50.0,22,0.06
Senin,Data Mining,5,3,WIRANTO,R001,E,25,18:10:00,19:00:00,50.0,14,0.06
Senin,Data Mining,5,3,WIRANTO,R001,E,25,22:15:00,23:05:00,50.0,16,0.06
Senin,Bahasa Indonesia,1,2,KUNDHARU SADDHONO,R002,C,40,13:00:00,13:50:00,50.0,34,0.04
Senin,Bahasa Indonesia,1,2,KUNDHARU SADDHONO,R002,C,40,13:55:00,14:45:00,50.0,38,0.04
Senin,Sistem Digital,1,3,AKHMAD SYAIFUDDIN,R002,C,40,15:30:00,16:20:00,50.0,26,0.06
Senin,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R002,D,40,10:15:00,11:05:00,50.0,26,0.06
Senin,Manajemen Jaringan,5,3,HERDITO IBNU DEWANGKORO,R002,A,40,07:30:00,08:20:00,50.0,39,0.06
Senin,Manajemen Jaringan,5,3,HERDITO IBNU DEWANGKORO,R002,A,40,08:25:00,09:15:00,50.0,36,0.06
Senin,Manajemen Jaringan,5,3,HERDITO IBNU DEWANGKORO,R002,A,40,09:20:00,10:10:00,50.0,19,0.06
Senin,Statistika & Probabilitas,1,3,ESTI SURYANI,R003,C,30,07:30:00,08:20:00,50.0,19,0.06
Senin,Statistika & Probabilitas,1,3,ESTI SURYANI,R003,C,30,08:25:00,09:15:00,50.0,14,0.06
Senin,Statistika & Probabilitas,1,3,ESTI SURYANI,R003,C,30,09:20:00,10:10:00,50.0,13,0.06
Senin,Metode Numerik,3,3,UMI SALAMAH,R003,B,30,10:15:00,11:05:00,50.0,23,0.06
Senin,Metode Numerik,3,3,UMI SALAMAH,R003,B,30,11:10:00,12:00:00,50.0,17,0.06
Senin,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30,13:00:00,13:50:00,50.0,13,0.08
Senin,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30,13:55:00,14:45:00,50.0,12,0.08
Senin,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30,15:30:00,16:20:00,50.0,23,0.08
Senin,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30,16:25:00,17:15:00,50.0,23,0.08
